Species1,Species2,DivergenceTime
Hordeum_jubatum_Sub2,Hordeum_bulbosum_Hap2,12.273094
Hordeum_jubatum_Sub2,Hordeum_vulgare,12.273094
Hordeum_jubatum_Sub2,Hordeum_murinum_Sub1,12.273094
Hordeum_jubatum_Sub2,Hordeum_murinum_BCC2017,12.273094
Hordeum_jubatum_Sub2,Hordeum_murinum_Sub2,12.273094
Hordeum_jubatum_Sub2,Triticum_monococcum,16.207947
Hordeum_jubatum_Sub2,Oryza_sativa,46.81582
Hordeum_parodii_Sub2,Sorghum_bicolor,48.998211
Hordeum_parodii_Sub2,Brachypodium_distachyon,34.529178
Hordeum_parodii_Sub2,Hordeum_bogdanii,4.305165
Hordeum_parodii_Sub2,Hordeum_jubatum_Sub2,0.842878
Hordeum_parodii_Sub2,Hordeum_roshevitzii,2.941932
Hordeum_parodii_Sub2,Hordeum_brevisubulatum,5.529531
Hordeum_parodii_Sub2,Hordeum_californicum,6.170433
Hordeum_parodii_Sub2,Hordeum_jubatum_Sub1,6.170433
Hordeum_parodii_Sub2,Hordeum_chilense,6.170433
Hordeum_parodii_Sub2,Hordeum_flexuosum,6.170433
Hordeum_parodii_Sub2,Hordeum_parodii_Sub1,6.170433
Hordeum_parodii_Sub2,Hordeum_erectifolium,6.170433
Hordeum_parodii_Sub2,Hordeum_stenostachys,6.170433
Hordeum_parodii_Sub2,Hordeum_euclaston,6.170433
Hordeum_parodii_Sub2,Hordeum_intercedens,6.170433
Hordeum_parodii_Sub2,Hordeum_pusillum,6.170433
Hordeum_parodii_Sub2,Hordeum_parodii_Sub3,6.170433
Hordeum_parodii_Sub2,Hordeum_pubiflorum,6.170433
Hordeum_parodii_Sub2,Hordeum_patagonicum,6.170433
Hordeum_parodii_Sub2,Hordeum_comosum,6.170433
Hordeum_parodii_Sub2,Hordeum_cordobense,6.170433
Hordeum_parodii_Sub2,Hordeum_muticum,6.170433
Hordeum_parodii_Sub2,Hordeum_secalinum_Sub2,6.170433
Hordeum_parodii_Sub2,Hordeum_gussoneanum,9.009506
Hordeum_parodii_Sub2,Hordeum_gussoneanum_Sub2,9.009506
Hordeum_parodii_Sub2,Hordeum_secalinum_Sub1,9.009506
Hordeum_parodii_Sub2,Hordeum_marinum_BCC2001,9.009506
Hordeum_parodii_Sub2,Hordeum_marinum_H559,9.009506
Hordeum_parodii_Sub2,Hordeum_gussoneanum_Sub1,9.009506
Hordeum_parodii_Sub2,Hordeum_bulbosum_Hap1,12.273094
Hordeum_parodii_Sub2,Hordeum_bulbosum_Hap2,12.273094
Hordeum_parodii_Sub2,Hordeum_vulgare,12.273094
Hordeum_parodii_Sub2,Hordeum_murinum_Sub1,12.273094
Hordeum_parodii_Sub2,Hordeum_murinum_BCC2017,12.273094
Hordeum_parodii_Sub2,Hordeum_murinum_Sub2,12.273094
Hordeum_parodii_Sub2,Triticum_monococcum,16.207947
Hordeum_parodii_Sub2,Oryza_sativa,46.81582
Hordeum_roshevitzii,Sorghum_bicolor,48.998211
Hordeum_roshevitzii,Brachypodium_distachyon,34.529178
Hordeum_roshevitzii,Hordeum_bogdanii,4.305165
Hordeum_roshevitzii,Hordeum_jubatum_Sub2,2.941932
Hordeum_roshevitzii,Hordeum_parodii_Sub2,2.941932
Hordeum_roshevitzii,Hordeum_brevisubulatum,5.529531
Hordeum_roshevitzii,Hordeum_californicum,6.170433
Hordeum_roshevitzii,Hordeum_jubatum_Sub1,6.170433
Hordeum_roshevitzii,Hordeum_chilense,6.170433
Hordeum_roshevitzii,Hordeum_flexuosum,6.170433
Hordeum_roshevitzii,Hordeum_parodii_Sub1,6.170433
Hordeum_roshevitzii,Hordeum_erectifolium,6.170433
Hordeum_roshevitzii,Hordeum_stenostachys,6.170433
Hordeum_roshevitzii,Hordeum_euclaston,6.170433
Hordeum_roshevitzii,Hordeum_intercedens,6.170433
Hordeum_roshevitzii,Hordeum_pusillum,6.170433
Hordeum_roshevitzii,Hordeum_parodii_Sub3,6.170433
Hordeum_roshevitzii,Hordeum_pubiflorum,6.170433
Hordeum_roshevitzii,Hordeum_patagonicum,6.170433
Hordeum_roshevitzii,Hordeum_comosum,6.170433
Hordeum_roshevitzii,Hordeum_cordobense,6.170433
Hordeum_roshevitzii,Hordeum_muticum,6.170433
Hordeum_roshevitzii,Hordeum_secalinum_Sub2,6.170433
Hordeum_roshevitzii,Hordeum_gussoneanum,9.009506
Hordeum_roshevitzii,Hordeum_gussoneanum_Sub2,9.009506
Hordeum_roshevitzii,Hordeum_secalinum_Sub1,9.009506
Hordeum_roshevitzii,Hordeum_marinum_BCC2001,9.009506
Hordeum_roshevitzii,Hordeum_marinum_H559,9.009506
Hordeum_roshevitzii,Hordeum_gussoneanum_Sub1,9.009506
Hordeum_roshevitzii,Hordeum_bulbosum_Hap1,12.273094
Hordeum_roshevitzii,Hordeum_bulbosum_Hap2,12.273094
Hordeum_roshevitzii,Hordeum_vulgare,12.273094
Hordeum_roshevitzii,Hordeum_murinum_Sub1,12.273094
Hordeum_roshevitzii,Hordeum_murinum_BCC2017,12.273094
Hordeum_roshevitzii,Hordeum_murinum_Sub2,12.273094
Hordeum_roshevitzii,Triticum_monococcum,16.207947
Hordeum_roshevitzii,Oryza_sativa,46.81582
Hordeum_brevisubulatum,Sorghum_bicolor,48.998211
Hordeum_brevisubulatum,Brachypodium_distachyon,34.529178
Hordeum_brevisubulatum,Hordeum_bogdanii,5.529531
Hordeum_brevisubulatum,Hordeum_jubatum_Sub2,5.529531
Hordeum_brevisubulatum,Hordeum_parodii_Sub2,5.529531
Hordeum_brevisubulatum,Hordeum_roshevitzii,5.529531
Hordeum_brevisubulatum,Hordeum_californicum,6.170433
Hordeum_brevisubulatum,Hordeum_jubatum_Sub1,6.170433
Hordeum_brevisubulatum,Hordeum_chilense,6.170433
Hordeum_brevisubulatum,Hordeum_flexuosum,6.170433
Hordeum_brevisubulatum,Hordeum_parodii_Sub1,6.170433
Hordeum_brevisubulatum,Hordeum_erectifolium,6.170433
Hordeum_brevisubulatum,Hordeum_stenostachys,6.170433
Hordeum_brevisubulatum,Hordeum_euclaston,6.170433
Hordeum_brevisubulatum,Hordeum_intercedens,6.170433
Hordeum_brevisubulatum,Hordeum_pusillum,6.170433
Hordeum_brevisubulatum,Hordeum_parodii_Sub3,6.170433
Hordeum_brevisubulatum,Hordeum_pubiflorum,6.170433
Hordeum_brevisubulatum,Hordeum_patagonicum,6.170433
Hordeum_brevisubulatum,Hordeum_comosum,6.170433
Hordeum_brevisubulatum,Hordeum_cordobense,6.170433
Hordeum_brevisubulatum,Hordeum_muticum,6.170433
Hordeum_brevisubulatum,Hordeum_secalinum_Sub2,6.170433
Hordeum_brevisubulatum,Hordeum_gussoneanum,9.009506
Hordeum_brevisubulatum,Hordeum_gussoneanum_Sub2,9.009506
Hordeum_brevisubulatum,Hordeum_secalinum_Sub1,9.009506
Hordeum_brevisubulatum,Hordeum_marinum_BCC2001,9.009506
Hordeum_brevisubulatum,Hordeum_marinum_H559,9.009506
Hordeum_brevisubulatum,Hordeum_gussoneanum_Sub1,9.009506
Hordeum_brevisubulatum,Hordeum_bulbosum_Hap1,12.273094
Hordeum_brevisubulatum,Hordeum_bulbosum_Hap2,12.273094
Hordeum_brevisubulatum,Hordeum_vulgare,12.273094
Hordeum_brevisubulatum,Hordeum_murinum_Sub1,12.273094
Hordeum_brevisubulatum,Hordeum_murinum_BCC2017,12.273094
Hordeum_brevisubulatum,Hordeum_murinum_Sub2,12.273094
Hordeum_brevisubulatum,Triticum_monococcum,16.207947
Hordeum_brevisubulatum,Oryza_sativa,46.81582
Hordeum_californicum,Sorghum_bicolor,48.998211
